city,date,temp,humidity,description
new york,2025-07-18T13:00:00,79.72,72,moderate rain
miami,2025-07-12T13:00:00,90.66,72,moderate rain
miami,2025-07-13T13:00:00,89.55,55,heavy intensity rain
miami,2025-07-14T13:00:00,82.71,62,moderate rain
miami,2025-07-15T13:00:00,77.92,80,moderate rain
miami,2025-07-16T13:00:00,82.72,74,moderate rain
miami,2025-07-17T13:00:00,86.5,65,moderate rain
miami,2025-07-18T13:00:00,87.57,65,light rain
austin,2025-07-12T14:00:00,90,66,light rain
austin,2025-07-13T14:00:00,91.42,50,light rain
austin,2025-07-14T14:00:00,92.41,47,broken clouds
austin,2025-07-15T14:00:00,93.63,44,broken clouds
austin,2025-07-16T14:00:00,94.03,39,clear sky
austin,2025-07-17T14:00:00,93.61,33,few clouds
austin,2025-07-18T14:00:00,94.37,33,clear sky
new york,2025-07-12T13:00:00,84.38,68,broken clouds
new york,2025-07-13T13:00:00,82.85,62,scattered clouds
new york,2025-07-14T13:00:00,85.41,60,moderate rain
new york,2025-07-15T13:00:00,90.48,48,light rain
new york,2025-07-16T13:00:00,90.21,53,light rain
new york,2025-07-17T13:00:00,89.04,57,moderate rain
new york,2025-07-18T13:00:00,79.72,72,moderate rain
new york,2025-07-12T13:00:00,84.38,68,broken clouds
new york,2025-07-13T13:00:00,82.85,62,scattered clouds
new york,2025-07-14T13:00:00,85.41,60,moderate rain
new york,2025-07-15T13:00:00,90.48,48,light rain
new york,2025-07-16T13:00:00,90.21,53,light rain
new york,2025-07-17T13:00:00,89.04,57,moderate rain
new york,2025-07-18T13:00:00,79.72,72,moderate rain
new york,2025-07-12T13:00:00,83.91,68,broken clouds
new york,2025-07-13T13:00:00,82.85,62,scattered clouds
new york,2025-07-14T13:00:00,85.41,60,moderate rain
new york,2025-07-15T13:00:00,90.48,48,light rain
new york,2025-07-16T13:00:00,90.21,53,light rain
new york,2025-07-17T13:00:00,89.04,57,moderate rain
new york,2025-07-18T13:00:00,79.72,72,moderate rain
New York,2025-07-12T13:00:00,83.7,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,light rain
New York,2025-07-17T13:00:00,89.04,57,moderate rain
New York,2025-07-18T13:00:00,79.72,72,moderate rain
New York,2025-07-12T13:00:00,84.06,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,clear sky
New York,2025-07-17T13:00:00,92.97,50,light rain
New York,2025-07-18T13:00:00,95.76,42,overcast clouds
New York,2025-07-12T13:00:00,83.79,68,broken clouds
New York,2025-07-13T13:00:00,81.9,64,broken clouds
New York,2025-07-14T13:00:00,84.63,60,heavy intensity rain
New York,2025-07-15T13:00:00,80.01,78,moderate rain
New York,2025-07-16T13:00:00,88.68,54,clear sky
New York,2025-07-17T13:00:00,92.97,50,light rain
New York,2025-07-18T13:00:00,95.76,42,overcast clouds
new york,2025-07-13T13:00:00,82.49,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-13T13:00:00,82.49,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-13T13:00:00,82.38,74,overcast clouds
new york,2025-07-14T13:00:00,85.24,61,moderate rain
new york,2025-07-15T13:00:00,81.36,73,moderate rain
new york,2025-07-16T13:00:00,87.17,56,scattered clouds
new york,2025-07-17T13:00:00,92.3,53,light rain
new york,2025-07-18T13:00:00,93.99,44,light rain
new york,2025-07-19T13:00:00,86.25,51,light rain
Miami,2025-07-13T13:00:00,88.5,72,light rain
Miami,2025-07-14T13:00:00,86.05,59,very heavy rain
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
